TYPE_ATTRIBUT;CODE_ATTRIBUT;LIBELLE_ATTRIBUT;TYPE_ATTRIBUT_PARENT;CODE_ATTRIBUT_PARENT
FOURNISSEUR; All Ahead Composites GmbH; All Ahead Composites GmbH;;
FOURNISSEUR;100% FRANCE SAS;100% FRANCE SAS;;
FOURNISSEUR;100% Speedlab LLC;100% Speedlab LLC;;
FOURNISSEUR;1two1 GmbH & Co KG ( Eclipse );1two1 GmbH & Co KG ( Eclipse );;
FOURNISSEUR;4iii;4iii;;
FOURNISSEUR;Abela Supermarket;Abela Supermarket;;
FOURNISSEUR;ABI INDUSTRIES ( Enduro Bearings );ABI INDUSTRIES ( Enduro Bearings );;
FOURNISSEUR;Abu Dhabi CO-OP;Abu Dhabi CO-OP;;
FOURNISSEUR;Abu Dhabi Cycling Club;Abu Dhabi Cycling Club;;
FOURNISSEUR;ABU DHABI CYCLING CLUB (ADCC);ABU DHABI CYCLING CLUB (ADCC);;
FOURNISSEUR;Abu Dhabi Ports Company PJS- Kizad;Abu Dhabi Ports Company PJS- Kizad;;
FOURNISSEUR;ABUS | August Bremicker Sohne KG;ABUS | August Bremicker Sohne KG;;
FOURNISSEUR;Accord Worldwide Freight Services LLC;Accord Worldwide Freight Services LLC;;
FOURNISSEUR;Ace Hardware;Ace Hardware;;
FOURNISSEUR;ADIHEX;ADIHEX;;
FOURNISSEUR;Al Faris Advertising & Gifts Supply;Al Faris Advertising & Gifts Supply;;
FOURNISSEUR;Alex Cycle Japan;Alex Cycle Japan;;
FOURNISSEUR;Ali Express;Ali Express;;
FOURNISSEUR;All4cycling;All4cycling;;
FOURNISSEUR;AMAL-01SLK2206- 0010;AMAL-01SLK2206- 0010;;
FOURNISSEUR;Amazon;Amazon;;
FOURNISSEUR;Amazon USA;Amazon USA;;
FOURNISSEUR;Amigos Logistics;Amigos Logistics;;
FOURNISSEUR;AMIT RETAIL LLC;AMIT RETAIL LLC;;
FOURNISSEUR;Annex Products Pty Ltd ( Quad Lock );Annex Products Pty Ltd ( Quad Lock );;
FOURNISSEUR;Apex International Solutions FZE;Apex International Solutions FZE;;
FOURNISSEUR;Apple;Apple;;
FOURNISSEUR;ARMED FORCES OFFICER CLUB HOTEL (ERTH ABU DHABI);ARMED FORCES OFFICER CLUB HOTEL (ERTH ABU DHABI);;
FOURNISSEUR;Armed Forces Officers Club & Hotel;Armed Forces Officers Club & Hotel;;
FOURNISSEUR;ASG International S.r.l;ASG International S.r.l;;
FOURNISSEUR;Assos of Switzerland GmbH;Assos of Switzerland GmbH;;
FOURNISSEUR;B&W International GmbH;B&W International GmbH;;
FOURNISSEUR;Bank Charges;Bank Charges;;
FOURNISSEUR;Batterien-Montage-Zentrum GmbH;Batterien-Montage-Zentrum GmbH;;
FOURNISSEUR;Belhasa Car Rental L.L.C;Belhasa Car Rental L.L.C;;
FOURNISSEUR;BiciSupport S.r.l.;BiciSupport S.r.l.;;
FOURNISSEUR;Bike Components;Bike Components;;
FOURNISSEUR;Bike Era (ANB Automobiles);Bike Era (ANB Automobiles);;
FOURNISSEUR;Bike Passion GmbH;Bike Passion GmbH;;
FOURNISSEUR;Bike Rental manager;Bike Rental manager;;
FOURNISSEUR;Bike24 GmbH;Bike24 GmbH;;
FOURNISSEUR;Bike-Components;Bike-Components;;
FOURNISSEUR;Bike-Discount;Bike-Discount;;
FOURNISSEUR;BikeFit LLC;BikeFit LLC;;
FOURNISSEUR;Bikeinn;Bikeinn;;
FOURNISSEUR;Bikeshop2000.de;Bikeshop2000.de;;
FOURNISSEUR;BIVO;BIVO;;
FOURNISSEUR;BJORN, D.O.O.;BJORN, D.O.O.;;
FOURNISSEUR;BKool SL;BKool SL;;
FOURNISSEUR;Blue Marine Computers LLC;Blue Marine Computers LLC;;
FOURNISSEUR;BONE COLLECTION INC.;BONE COLLECTION INC.;;
FOURNISSEUR;Brand in Style FZ LLC;Brand in Style FZ LLC;;
FOURNISSEUR;Bright Way Publishing & Advertising EST;Bright Way Publishing & Advertising EST;;
FOURNISSEUR;Brighton Advanced Decor & General Maintenance LLC;Brighton Advanced Decor & General Maintenance LLC;;
FOURNISSEUR;Bullet Ventures Limited ( Hornit );Bullet Ventures Limited ( Hornit );;
FOURNISSEUR;Byrne Equipment Rental LLC;Byrne Equipment Rental LLC;;
FOURNISSEUR;C3D Printing Production;C3D Printing Production;;
FOURNISSEUR;C4 Logistics Limited;C4 Logistics Limited;;
FOURNISSEUR;Cafe Colnago LLC;Cafe Colnago LLC;;
FOURNISSEUR;Campagnolo Srl;Campagnolo Srl;;
FOURNISSEUR;Canon Emirates LLC;Canon Emirates LLC;;
FOURNISSEUR;Capital 360;Capital 360;;
FOURNISSEUR;Capital 360 L.L.C. O.P.C;Capital 360 L.L.C. O.P.C;;
FOURNISSEUR;Capital Events LLC;Capital Events LLC;;
FOURNISSEUR;Carbon Ti srl;Carbon Ti srl;;
FOURNISSEUR;Carbovation gmbh ( Lightweight );Carbovation gmbh ( Lightweight );;
FOURNISSEUR;Carrefour UAE;Carrefour UAE;;
FOURNISSEUR;Casa Milano Building Trad LLC;Casa Milano Building Trad LLC;;
FOURNISSEUR;Ceejay LLC;Ceejay LLC;;
FOURNISSEUR;CeramicSpeed Sport A/S;CeramicSpeed Sport A/S;;
FOURNISSEUR;Certa Sports Trading GMBH;Certa Sports Trading GMBH;;
FOURNISSEUR;Cervelo;Cervelo;;
FOURNISSEUR;Cheribundi;Cheribundi;;
FOURNISSEUR;Chia Cherne Industry Co LTD ( Riderever );Chia Cherne Industry Co LTD ( Riderever );;
FOURNISSEUR;Chipolo;Chipolo;;
FOURNISSEUR;Chris King Precision Components;Chris King Precision Components;;
FOURNISSEUR;Chris King Precision Components USD;Chris King Precision Components USD;;
FOURNISSEUR;Christine Pido;Christine Pido;;
FOURNISSEUR;Ciclimattio.com;Ciclimattio.com;;
FOURNISSEUR;Classified Cycling BV;Classified Cycling BV;;
FOURNISSEUR;Cloudscape;Cloudscape;;
FOURNISSEUR;Colnago Ernesto E C. S.R.L.;Colnago Ernesto E C. S.R.L.;;
FOURNISSEUR;Colnago Ernesto E C. S.R.L. USD;Colnago Ernesto E C. S.R.L. USD;;
FOURNISSEUR;Connectme Electronics Trading LLC;Connectme Electronics Trading LLC;;
FOURNISSEUR;Continental Reifen Deutschland GmbH;Continental Reifen Deutschland GmbH;;
FOURNISSEUR;Cotecna Inspection S.A;Cotecna Inspection S.A;;
FOURNISSEUR;Couriex;Couriex;;
FOURNISSEUR;Craft box Gifts Trading LLC;Craft box Gifts Trading LLC;;
FOURNISSEUR;Crank Brothers Inc;Crank Brothers Inc;;
FOURNISSEUR;Crank Master Cycling Shop;Crank Master Cycling Shop;;
FOURNISSEUR;Creative 971 Web Design LLC;Creative 971 Web Design LLC;;
FOURNISSEUR;Creative Display CO. LLC;Creative Display CO. LLC;;
FOURNISSEUR;Credit Card;Credit Card;;
FOURNISSEUR;Credit note;Credit note;;
FOURNISSEUR;Cush Core;Cush Core;;
FOURNISSEUR;Custom Riders;Custom Riders;;
FOURNISSEUR;Customer Preloved;Customer Preloved;;
FOURNISSEUR;Cybrei;Cybrei;;
FOURNISSEUR;Cycle Culture;Cycle Culture;;
FOURNISSEUR;Cycle Hub;Cycle Hub;;
FOURNISSEUR;Cyclo-Souvenir;Cyclo-Souvenir;;
FOURNISSEUR;Darimo Carbon S.L.;Darimo Carbon S.L.;;
FOURNISSEUR;Day to Day Hypermarket;Day to Day Hypermarket;;
FOURNISSEUR;Dear Systems FZE;Dear Systems FZE;;
FOURNISSEUR;Decathlon Dubai Hills;Decathlon Dubai Hills;;
FOURNISSEUR;Deda Industrie S.R.L.;Deda Industrie S.R.L.;;
FOURNISSEUR;Delta Speed;Delta Speed;;
FOURNISSEUR;DerailleurHanger.com;DerailleurHanger.com;;
FOURNISSEUR;Desco Copy Centre;Desco Copy Centre;;
FOURNISSEUR;DHL;DHL;;
FOURNISSEUR;DHL WORLDWIDE EXPRESS;DHL WORLDWIDE EXPRESS;;
FOURNISSEUR;Diamant s.r.l. - DMT Cycling;Diamant s.r.l. - DMT Cycling;;
FOURNISSEUR;Digirit;Digirit;;
FOURNISSEUR;Drag2Zero Limited;Drag2Zero Limited;;
FOURNISSEUR;DT Swiss Ltd.;DT Swiss Ltd.;;
FOURNISSEUR;DT Swiss USD;DT Swiss USD;;
FOURNISSEUR;Du Telecom;Du Telecom;;
FOURNISSEUR;Elite Srl;Elite Srl;;
FOURNISSEUR;EMIRATES CYCLING FEDERATIO;EMIRATES CYCLING FEDERATIO;;
FOURNISSEUR;Emirates Cycling Federation;Emirates Cycling Federation;;
FOURNISSEUR;Emsons General Traiding L.L.C.;Emsons General Traiding L.L.C.;;
FOURNISSEUR;End of Service;End of Service;;
FOURNISSEUR;Ernst & Young Middle East;Ernst & Young Middle East;;
FOURNISSEUR;ESTABLISHMENT INTILAQ AL DARRAJ FOR TRADING (GO BIKE KSA);ESTABLISHMENT INTILAQ AL DARRAJ FOR TRADING (GO BIKE KSA);;
FOURNISSEUR;Etisalat;Etisalat;;
FOURNISSEUR;EVERY INCH TECHNICAL SERVICES LLC;EVERY INCH TECHNICAL SERVICES LLC;;
FOURNISSEUR;Evoc Euro;Evoc Euro;;
FOURNISSEUR;EVOC Sports GmbH;EVOC Sports GmbH;;
FOURNISSEUR;Evoke;Evoke;;
FOURNISSEUR;Excellent General Trading;Excellent General Trading;;
FOURNISSEUR;Excellent Way;Excellent Way;;
FOURNISSEUR;FACTOR BIKES EUROPE S.L.U.;FACTOR BIKES EUROPE S.L.U.;;
FOURNISSEUR;Factor Holdings LTD;Factor Holdings LTD;;
FOURNISSEUR;FACTUUR Innovative Cycling BVBA;FACTUUR Innovative Cycling BVBA;;
FOURNISSEUR;Falcon Middle East;Falcon Middle East;;
FOURNISSEUR;Fantic Motor S.P.A.;Fantic Motor S.P.A.;;
FOURNISSEUR;Federal Custom;Federal Custom;;
FOURNISSEUR;FedEx Express;FedEx Express;;
FOURNISSEUR;Felt Bicycles GmbH;Felt Bicycles GmbH;;
FOURNISSEUR;FELT GMBH USD;FELT GMBH USD;;
FOURNISSEUR;Final Settlement Payment;Final Settlement Payment;;
FOURNISSEUR;Fine Line Cycling LLC;Fine Line Cycling LLC;;
FOURNISSEUR;Finish Line Technologies Inc.;Finish Line Technologies Inc.;;
FOURNISSEUR;Fire Experts For Safety Engineering;Fire Experts For Safety Engineering;;
FOURNISSEUR;First Flight Courier;First Flight Courier;;
FOURNISSEUR;Flowbio;Flowbio;;
FOURNISSEUR;FLYJAC Logistics;FLYJAC Logistics;;
FOURNISSEUR;Fox Factory GmbH;Fox Factory GmbH;;
FOURNISSEUR;Fractal Systems FZ LLC;Fractal Systems FZ LLC;;
FOURNISSEUR;Framesandgear ApS;Framesandgear ApS;;
FOURNISSEUR;Ftech;Ftech;;
FOURNISSEUR;Fun E International Trading Corp Ltd;Fun E International Trading Corp Ltd;;
FOURNISSEUR;Future Insurance;Future Insurance;;
FOURNISSEUR;Future Insurance Broker Services LLC;Future Insurance Broker Services LLC;;
FOURNISSEUR;G8 Performance Pty Limited;G8 Performance Pty Limited;;
FOURNISSEUR;GAC Shipping & Logistics LLC;GAC Shipping & Logistics LLC;;
FOURNISSEUR;GIROT TRADING CO LLC;GIROT TRADING CO LLC;;
FOURNISSEUR;Global Climbing Trading LLC;Global Climbing Trading LLC;;
FOURNISSEUR;Global Eye General Trading LLC;Global Eye General Trading LLC;;
FOURNISSEUR;Guangzhou Sea Wave Packaging And Printing Co., Ltd.;Guangzhou Sea Wave Packaging And Printing Co., Ltd.;;
FOURNISSEUR;Gulf Insurance Group;Gulf Insurance Group;;
FOURNISSEUR;Gulf Multi Sports LLC;Gulf Multi Sports LLC;;
FOURNISSEUR;GYMCARE GENERAL TRADING;GYMCARE GENERAL TRADING;;
FOURNISSEUR;Hassantuk;Hassantuk;;
FOURNISSEUR;HED Jet Cycling US;HED Jet Cycling US;;
FOURNISSEUR;HILL TECH ENGINEERING MATERIALS TRADING;HILL TECH ENGINEERING MATERIALS TRADING;;
FOURNISSEUR;Huangs Smart Cycling, INC. ( Ciclovation );Huangs Smart Cycling, INC. ( Ciclovation );;
FOURNISSEUR;HUUB Ltd;HUUB Ltd;;
FOURNISSEUR;ICON AUTO GARAGE;ICON AUTO GARAGE;;
FOURNISSEUR;IKEA LLC;IKEA LLC;;
FOURNISSEUR;Imet Academy;Imet Academy;;
FOURNISSEUR;Impact Advertising & Publicity LLC;Impact Advertising & Publicity LLC;;
FOURNISSEUR;IN GRUPPETTO BICYCLES TRADING;IN GRUPPETTO BICYCLES TRADING;;
FOURNISSEUR;Infinity Unlimited;Infinity Unlimited;;
FOURNISSEUR;IQ Fulfillment General Warehousing LLC;IQ Fulfillment General Warehousing LLC;;
FOURNISSEUR;IQ fulfillment Warehousing LLC;IQ fulfillment Warehousing LLC;;
FOURNISSEUR;ISM Saddles, LLC;ISM Saddles, LLC;;
FOURNISSEUR;ISS Global Forwarding;ISS Global Forwarding;;
FOURNISSEUR;IT Connections General Trading LLC;IT Connections General Trading LLC;;
FOURNISSEUR;Kärcher FZE;Kärcher FZE;;
FOURNISSEUR;Kask SPA;Kask SPA;;
FOURNISSEUR;KMC International INC;KMC International INC;;
FOURNISSEUR;KOM Cycling LLC;KOM Cycling LLC;;
FOURNISSEUR;Lake Cycling International B.V.;Lake Cycling International B.V.;;
FOURNISSEUR;Lea Network FZE;Lea Network FZE;;
FOURNISSEUR;LEDC Germany GmBH (Profile Design);LEDC Germany GmBH (Profile Design);;
FOURNISSEUR;Lewis;Lewis;;
FOURNISSEUR;LEZYNE USA Inc. - TAIWAN BRANCH;LEZYNE USA Inc. - TAIWAN BRANCH;;
FOURNISSEUR;Lizard Skins, LLC;Lizard Skins, LLC;;
FOURNISSEUR;LOC8 Equipment Trading LLC;LOC8 Equipment Trading LLC;;
FOURNISSEUR;Lumi Legend Corporation;Lumi Legend Corporation;;
FOURNISSEUR;Luxottica Group;Luxottica Group;;
FOURNISSEUR;Lynwood FZE;Lynwood FZE;;
FOURNISSEUR;M1 Sporttechnik GmbH & Co. KG;M1 Sporttechnik GmbH & Co. KG;;
FOURNISSEUR;Maap Co. Pty. Ltd;Maap Co. Pty. Ltd;;
FOURNISSEUR;Madison;Madison;;
FOURNISSEUR;Magnati;Magnati;;
FOURNISSEUR;Mahle Smartbike Systems S.L.U.;Mahle Smartbike Systems S.L.U.;;
FOURNISSEUR;Majid Al Futtaim Hypermarket LLC;Majid Al Futtaim Hypermarket LLC;;
FOURNISSEUR;Manifattura Valcismon SPA (Castelli);Manifattura Valcismon SPA (Castelli);;
FOURNISSEUR;Maurten AB;Maurten AB;;
FOURNISSEUR;Menoud Bike;Menoud Bike;;
FOURNISSEUR;Messingschlager GmbH & Co. KG;Messingschlager GmbH & Co. KG;;
FOURNISSEUR;Miche;Miche;;
FOURNISSEUR;Moots Cycles;Moots Cycles;;
FOURNISSEUR;MTB Hopper;MTB Hopper;;
FOURNISSEUR;Muc-Off LTD;Muc-Off LTD;;
FOURNISSEUR;Muscat Bikes LLC;Muscat Bikes LLC;;
FOURNISSEUR;Overfast;Overfast;;
FOURNISSEUR;PACO BIKE;PACO BIKE;;
FOURNISSEUR;Paragon Shipping;Paragon Shipping;;
FOURNISSEUR;PARAGON SHIPPING AND LOGISTICS LLC;PARAGON SHIPPING AND LOGISTICS LLC;;
FOURNISSEUR;Parcours Velo Ltd;Parcours Velo Ltd;;
FOURNISSEUR;Partington;Partington;;
FOURNISSEUR;Pelotan Limited;Pelotan Limited;;
FOURNISSEUR;Petty Cash;Petty Cash;;
FOURNISSEUR;Pierer New Mobility GMBH ;Pierer New Mobility GMBH ;;
FOURNISSEUR;Pissei Srl;Pissei Srl;;
FOURNISSEUR;Planet Tax Free LLC;Planet Tax Free LLC;;
FOURNISSEUR;Plasmaide Europe B.V;Plasmaide Europe B.V;;
FOURNISSEUR;Plasmaide UK;Plasmaide UK;;
FOURNISSEUR;Poli Promotion;Poli Promotion;;
FOURNISSEUR;Polisport Plasticos S.A.;Polisport Plasticos S.A.;;
FOURNISSEUR;Pon.Bike Performance GmbH;Pon.Bike Performance GmbH;;
FOURNISSEUR;PORTS SHIPPING LLC;PORTS SHIPPING LLC;;
FOURNISSEUR;Puky GmbH & Co. KG;Puky GmbH & Co. KG;;
FOURNISSEUR;Purpose Performance Wear;Purpose Performance Wear;;
FOURNISSEUR;QINGDAO MAGNETIC GENE TECHNOLOGY CO.,LTD.(Magene);QINGDAO MAGNETIC GENE TECHNOLOGY CO.,LTD.(Magene);;
FOURNISSEUR;Radlabor GmbH;Radlabor GmbH;;
FOURNISSEUR;Rapha Racing Limited;Rapha Racing Limited;;
FOURNISSEUR;Rapid Gear CC;Rapid Gear CC;;
FOURNISSEUR;RapiLock axle;RapiLock axle;;
FOURNISSEUR;Rasen Adventure Shop;Rasen Adventure Shop;;
FOURNISSEUR;Recon Bike Components Co., Ltd;Recon Bike Components Co., Ltd;;
FOURNISSEUR;ReSkin;ReSkin;;
FOURNISSEUR;REVOLUTION GENERAL TRADING (REVOLUTION CYCLES DUBAI);REVOLUTION GENERAL TRADING (REVOLUTION CYCLES DUBAI);;
FOURNISSEUR;REX Articoli Tecnici S.A. ( Swissstop );REX Articoli Tecnici S.A. ( Swissstop );;
FOURNISSEUR;Right Media Advertising And Trading FZE;Right Media Advertising And Trading FZE;;
FOURNISSEUR;Robbies Bicycle Co (PTY) LTD;Robbies Bicycle Co (PTY) LTD;;
FOURNISSEUR;Rotor Componentes Tecnologicos, S.L.;Rotor Componentes Tecnologicos, S.L.;;
FOURNISSEUR;SABA Docharkh Co. LTD;SABA Docharkh Co. LTD;;
FOURNISSEUR;Santa Cruz Bicycles, LLC;Santa Cruz Bicycles, LLC;;
FOURNISSEUR;SCAN GLOBAL LOGISTICS;SCAN GLOBAL LOGISTICS;;
FOURNISSEUR;SCHWALBE | Ralf Bohle GmbH;SCHWALBE | Ralf Bohle GmbH;;
FOURNISSEUR;Scope Cycling Euro;Scope Cycling Euro;;
FOURNISSEUR;Scope Cycling USD;Scope Cycling USD;;
FOURNISSEUR;Scott Euro;Scott Euro;;
FOURNISSEUR;Scott USD;Scott USD;;
FOURNISSEUR;Scotty Browns Bicycle Emporium;Scotty Browns Bicycle Emporium;;
FOURNISSEUR;Seamark Shipping LLC;Seamark Shipping LLC;;
FOURNISSEUR;Seamax Shipping Services LLC;Seamax Shipping Services LLC;;
FOURNISSEUR;SeaSucker, LLC;SeaSucker, LLC;;
FOURNISSEUR;Selle Italia S.r.l.;Selle Italia S.r.l.;;
FOURNISSEUR;Selle Royal Group USA  ( Crank Brothers Inc );Selle Royal Group USA  ( Crank Brothers Inc );;
FOURNISSEUR;Selle Royal Romania SRL;Selle Royal Romania SRL;;
FOURNISSEUR;Selle Royal SPA (Fizik);Selle Royal SPA (Fizik);;
FOURNISSEUR;Shimano Turkish;Shimano Turkish;;
FOURNISSEUR;Shimano Turkish Euro;Shimano Turkish Euro;;
FOURNISSEUR;Shopify International Limited;Shopify International Limited;;
FOURNISSEUR;SIA Velo Sock;SIA Velo Sock;;
FOURNISSEUR;SIENNA Group Corp. (Profile Design);SIENNA Group Corp. (Profile Design);;
FOURNISSEUR;SIGMA-Elektro GmbH;SIGMA-Elektro GmbH;;
FOURNISSEUR;Silca Aeromind LLC;Silca Aeromind LLC;;
FOURNISSEUR;SINTER Ljubljana d.o.o.;SINTER Ljubljana d.o.o.;;
FOURNISSEUR;Slik Graphics;Slik Graphics;;
FOURNISSEUR;SnM gebioMized GmBH;SnM gebioMized GmBH;;
FOURNISSEUR;SPECIALIST LOGISTICS FREIGHT BROKER CO. LLC;SPECIALIST LOGISTICS FREIGHT BROKER CO. LLC;;
FOURNISSEUR;SRAM Corporation Europe;SRAM Corporation Europe;;
FOURNISSEUR;SRM Training System;SRM Training System;;
FOURNISSEUR;Stashed;Stashed;;
FOURNISSEUR;Super Sports Academy;Super Sports Academy;;
FOURNISSEUR;Superfoods Trading LLC;Superfoods Trading LLC;;
FOURNISSEUR;Syncergonomics;Syncergonomics;;
FOURNISSEUR;Taizhou YESTO IMP&EXP Co., Ltd;Taizhou YESTO IMP&EXP Co., Ltd;;
FOURNISSEUR;TAVELO XIAMEN SPORTS CO.,LTD;TAVELO XIAMEN SPORTS CO.,LTD;;
FOURNISSEUR;Tektro USA;Tektro USA;;
FOURNISSEUR;Temu;Temu;;
FOURNISSEUR;Test Supplier for Finance Use Only;Test Supplier for Finance Use Only;;
FOURNISSEUR;THE CYCLE HUB LLC;THE CYCLE HUB LLC;;
FOURNISSEUR;THM GmBH;THM GmBH;;
FOURNISSEUR;THULE Inc.;THULE Inc.;;
FOURNISSEUR;THULE Sweden AB;THULE Sweden AB;;
FOURNISSEUR;Timberline Tooling, Inc. (K-Edge);Timberline Tooling, Inc. (K-Edge);;
FOURNISSEUR;Time Bicycle Europe;Time Bicycle Europe;;
FOURNISSEUR;TNT;TNT;;
FOURNISSEUR;Traffic Distribution GmbH;Traffic Distribution GmbH;;
FOURNISSEUR;TRILIFE SPORTS;TRILIFE SPORTS;;
FOURNISSEUR;Tririg;Tririg;;
FOURNISSEUR;Tufo s.r.o;Tufo s.r.o;;
FOURNISSEUR;Tune GmbH;Tune GmbH;;
FOURNISSEUR;ULTRA COOL TECH;ULTRA COOL TECH;;
FOURNISSEUR;Ultrahuman Healthcare - Sole Proprietorship L.L.C.;Ultrahuman Healthcare - Sole Proprietorship L.L.C.;;
FOURNISSEUR;Unior Tools;Unior Tools;;
FOURNISSEUR;UPS Gulf LLC;UPS Gulf LLC;;
FOURNISSEUR;VELO PRESTO BICYCLES & SPARE PARTS;VELO PRESTO BICYCLES & SPARE PARTS;;
FOURNISSEUR;VeloBike Innovation;VeloBike Innovation;;
FOURNISSEUR;Velodrome-STS Ltd;Velodrome-STS Ltd;;
FOURNISSEUR;VELOMANIA Ltd;VELOMANIA Ltd;;
FOURNISSEUR;Vielo Sports LTD;Vielo Sports LTD;;
FOURNISSEUR;Wahoo Fitness;Wahoo Fitness;;
FOURNISSEUR;WE MAKE THINGS GmbH;WE MAKE THINGS GmbH;;
FOURNISSEUR;We Make Things GMBH - Euro;We Make Things GMBH - Euro;;
FOURNISSEUR;Webitation Pty Ltd -;Webitation Pty Ltd -;;
FOURNISSEUR;Wellcosan GmbH (Reboots);Wellcosan GmbH (Reboots);;
FOURNISSEUR;Wellgo Pedals Corp.;Wellgo Pedals Corp.;;
FOURNISSEUR;Wera Werkzeuge GMBH;Wera Werkzeuge GMBH;;
FOURNISSEUR;Wheels Manufacturing Inc.;Wheels Manufacturing Inc.;;
FOURNISSEUR;Wishwright Auto Spare Parts Trading LLC;Wishwright Auto Spare Parts Trading LLC;;
FOURNISSEUR;Wolf Tooth Components;Wolf Tooth Components;;
FOURNISSEUR;Wolfi's Bike Shop LLC;Wolfi's Bike Shop LLC;;
FOURNISSEUR;WOLFI'S RETAIL BIKE SHOP LLC;WOLFI'S RETAIL BIKE SHOP LLC;;
FOURNISSEUR;Wuhan Ailechi Technology Co., Ltd;Wuhan Ailechi Technology Co., Ltd;;
FOURNISSEUR;Wun Pang Bicycle Company Limited;Wun Pang Bicycle Company Limited;;
FOURNISSEUR;Xero (NZ) Ltd;Xero (NZ) Ltd;;
FOURNISSEUR;YAS Cycle;YAS Cycle;;
FOURNISSEUR;YETI Cycles;YETI Cycles;;
FOURNISSEUR;Yiwu Zoyo Sports Goods Co., Ltd.;Yiwu Zoyo Sports Goods Co., Ltd.;;
FOURNISSEUR;Zingerle Group;Zingerle Group;;
FOURNISSEUR;Zoho Corporation Pte Ltd;Zoho Corporation Pte Ltd;;